energy,unc_e,intensity,unc_i,type,p_energy,parent,decay,parent_z,parent_n
766.36,0.02,0.293,0.005,G,73.92,234PA,B-,91,143
1001.03,0.02,0.840,0.010,G,73.92,234PA,B-,91,143
