number,element,Z,line,energy_keV,intensity,error
641,Cs,55,Ll,3.795,0.155,0.02
640,Cs,55,Ln,4.142,0.068,0.007
631,Cs,55,La2,4.272,0.43,0.04
630,Cs,55,La1,4.286,3.8,0.4
632,Cs,55,Lb1,4.62,2.32,0.24
635,Cs,55,Lb4,4.649,0.069,0.014
634,Cs,55,Lb3,4.717,0.116,0.023
636,Cs,55,Lb6,4.781,0.031,0.003
633,Cs,55,Lb2,4.934,0.77,0.08
637,Cs,55,Lg1,5.281,0.33,0.04
638,Cs,55,Lg2,5.542,0.019,0.004
639,Cs,55,Lg3,5.553,0.028,0.006
623,Cs,55,Ka3,30.27,0.00296,9E-05
622,Cs,55,Ka2,30.625,25.5,0.6
621,Cs,55,Ka1,30.973,46.7,1.1
626,Cs,55,Kb3,34.92,4.42,0.1
624,Cs,55,Kb1,34.987,8.53,0.19
628,Cs,55,Kb5,35.252,0.091,0.004
625,Cs,55,Kb2,35.818,2.64,0.06
627,Cs,55,Kb4,35.907,0.021,0.01
629,Cs,55,KO,35.972,0.35,0.04
662,Ba,56,Ll,3.954,0.163,0.021
661,Ba,56,Ln,4.331,0.07,0.007
652,Ba,56,La2,4.451,0.45,0.05
651,Ba,56,La1,4.466,4.1,0.4
653,Ba,56,Lb1,4.828,2.47,0.25
656,Ba,56,Lb4,4.852,0.07,0.014
655,Ba,56,Lb3,4.927,0.118,0.024
657,Ba,56,Lb6,4.994,0.034,0.004
654,Ba,56,Lb2,5.156,0.84,0.09
658,Ba,56,Lg1,5.531,0.36,0.04
659,Ba,56,Lg2,5.797,0.02,0.004
660,Ba,56,Lg3,5.809,0.028,0.006
644,Ba,56,Ka3,31.452,0.00334,0.00011
643,Ba,56,Ka2,31.817,25.6,0.6
642,Ba,56,Ka1,32.194,46.7,1.1
647,Ba,56,Kb3,36.304,4.47,0.1
645,Ba,56,Kb1,36.378,8.63,0.19
649,Ba,56,Kb5,36.652,0.1,0.004
646,Ba,56,Kb2,37.255,2.73,0.06
648,Ba,56,Kb4,37.349,0.023,0.011
650,Ba,56,KO,37.425,0.4,0.04
685,La,57,Ll,4.121,0.176,0.023
684,La,57,Ln,4.529,0.073,0.007
673,La,57,La2,4.634,0.48,0.05
672,La,57,La1,4.651,4.3,0.5
674,La,57,Lb1,5.042,2.6,0.3
677,La,57,Lb4,5.062,0.071,0.014
676,La,57,Lb3,5.143,0.12,0.024
679,La,57,Lb6,5.212,0.036,0.004
675,La,57,Lb2,5.384,0.91,0.1
678,La,57,Lb5,5.483,0.0091,0.0009
680,La,57,Lg1,5.792,0.39,0.04
683,La,57,Lg6,5.891,0.0042,0.0005
681,La,57,Lg2,6.06,0.02,0.004
682,La,57,Lg3,6.075,0.029,0.006
665,La,57,Ka3,32.658,0.00373,0.00012
664,La,57,Ka2,33.034,25.7,0.6
663,La,57,Ka1,33.442,46.8,1.1
668,La,57,Kb3,37.72,4.51,0.1
666,La,57,Kb1,37.801,8.7,0.19
670,La,57,Kb5,38.085,0.105,0.004
667,La,57,Kb2,38.726,2.81,0.06
669,La,57,Kb4,38.826,0.025,0.012
671,La,57,KO,38.91,0.45,0.05
706,Ce,58,Ll,4.289,0.189,0.024
705,Ce,58,Ln,4.73,0.075,0.008
696,Ce,58,La2,4.822,0.51,0.05
695,Ce,58,La1,4.84,4.6,0.5
697,Ce,58,Lb1,5.263,2.8,0.3
700,Ce,58,Lb4,5.276,0.071,0.014
699,Ce,58,Lb3,5.363,0.12,0.024
701,Ce,58,Lb6,5.434,0.039,0.004
698,Ce,58,Lb2,5.613,0.97,0.1
702,Ce,58,Lg1,6.054,0.43,0.05
703,Ce,58,Lg2,6.326,0.021,0.004
704,Ce,58,Lg3,6.342,0.03,0.006
688,Ce,58,Ka3,33.894,0.00422,0.00013
687,Ce,58,Ka2,34.279,25.9,0.6
686,Ce,58,Ka1,34.72,47,1.1
691,Ce,58,Kb3,39.17,4.57,0.1
689,Ce,58,Kb1,39.258,8.83,0.2
693,Ce,58,Kb5,39.551,0.11,0.005
690,Ce,58,Kb2,40.228,2.84,0.06
692,Ce,58,Kb4,40.333,0.027,0.013
694,Ce,58,KO,40.423,0.42,0.04
727,Pr,59,Ll,4.453,0.2,0.03
726,Pr,59,Ln,4.929,0.078,0.008
717,Pr,59,La2,5.013,0.54,0.06
716,Pr,59,La1,5.033,4.9,0.5
718,Pr,59,Lb1,5.489,3,0.3
721,Pr,59,Lb4,5.497,0.071,0.014
720,Pr,59,Lb3,5.593,0.12,0.024
722,Pr,59,Lb6,5.66,0.042,0.004
719,Pr,59,Lb2,5.851,1.03,0.11
723,Pr,59,Lg1,6.327,0.46,0.05
724,Pr,59,Lg2,6.599,0.021,0.004
725,Pr,59,Lg3,6.617,0.03,0.006
709,Pr,59,Ka3,35.156,0.00472,0.00015
708,Pr,59,Ka2,35.55,26.1,0.6
707,Pr,59,Ka1,36.026,47.1,1.1
712,Pr,59,Kb3,40.653,4.61,0.1
710,Pr,59,Kb1,40.748,8.9,0.2
714,Pr,59,Kb5,41.05,0.116,0.005
711,Pr,59,Kb2,41.764,2.88,0.07
713,Pr,59,Kb4,41.877,0.028,0.014
715,Pr,59,KO,41.968,0.42,0.04
748,Nd,60,Ll,4.633,0.213,0.02
747,Nd,60,Ln,5.146,0.081,0.006
738,Nd,60,La2,5.208,0.57,0.03
737,Nd,60,La1,5.23,5.2,0.3
739,Nd,60,Lb1,5.722,3.12,0.23
742,Nd,60,Lb4,5.723,0.072,0.011
741,Nd,60,Lb3,5.829,0.121,0.018
743,Nd,60,Lb6,5.893,0.0454,0.0025
740,Nd,60,Lb2,6.09,1.1,0.07
744,Nd,60,Lg1,6.604,0.5,0.04
745,Nd,60,Lg2,6.883,0.022,0.004
746,Nd,60,Lg3,6.901,0.031,0.005
730,Nd,60,Ka3,36.443,0.00531,0.00016
729,Nd,60,Ka2,36.847,26.2,0.6
728,Nd,60,Ka1,37.361,47.2,1
733,Nd,60,Kb3,42.166,4.65,0.1
731,Nd,60,Kb1,42.272,8.97,0.19
735,Nd,60,Kb5,42.58,0.121,0.005
732,Nd,60,Kb2,43.335,2.93,0.06
734,Nd,60,Kb4,43.451,0.03,0.015
736,Nd,60,KO,43.548,0.42,0.04
769,Pm,61,Ll,4.809,0.225,0.022
768,Pm,61,Ln,5.363,0.083,0.006
759,Pm,61,La2,5.408,0.6,0.03
758,Pm,61,La1,5.432,5.4,0.3
763,Pm,61,Lb4,5.956,0.071,0.011
760,Pm,61,Lb1,5.961,3.31,0.24
762,Pm,61,Lb3,6.071,0.119,0.018
764,Pm,61,Lb6,6.128,0.049,0.003
761,Pm,61,Lb2,6.339,1.15,0.07
765,Pm,61,Lg1,6.892,0.54,0.04
767,Pm,61,Lg3,7.186,0.031,0.005
766,Pm,61,Lg2,7.186,0.022,0.004
751,Pm,61,Ka3,37.756,0.0058,0.00018
750,Pm,61,Ka2,38.171,26.3,0.6
749,Pm,61,Ka1,38.725,47.3,1
754,Pm,61,Kb3,43.713,4.69,0.1
752,Pm,61,Kb1,43.827,9.08,0.19
756,Pm,61,Kb5,44.145,0.13,0.006
753,Pm,61,Kb2,44.942,2.98,0.06
755,Pm,61,Kb4,45.064,0.032,0.016
757,Pm,61,KO,45.162,0.42,0.04
790,Sm,62,Ll,4.993,0.237,0.023
789,Sm,62,Ln,5.589,0.086,0.006
780,Sm,62,La2,5.61,0.63,0.04
779,Sm,62,La1,5.636,5.7,0.3
784,Sm,62,Lb4,6.196,0.073,0.011
781,Sm,62,Lb1,6.206,3.5,0.3
783,Sm,62,Lb3,6.317,0.122,0.018
785,Sm,62,Lb6,6.37,0.053,0.003
782,Sm,62,Lb2,6.587,1.21,0.07
786,Sm,62,Lg1,7.183,0.58,0.04
787,Sm,62,Lg2,7.471,0.023,0.004
788,Sm,62,Lg3,7.489,0.032,0.005
772,Sm,62,Ka3,39.097,0.00678,0.00021
771,Sm,62,Ka2,39.522,26.4,0.6
770,Sm,62,Ka1,40.118,47.5,1
775,Sm,62,Kb3,45.293,4.73,0.1
773,Sm,62,Kb1,45.414,9.15,0.19
777,Sm,62,Kb5,45.741,0.136,0.006
774,Sm,62,Kb2,46.578,3.02,0.06
776,Sm,62,Kb4,46.705,0.034,0.017
778,Sm,62,KO,46.813,0.42,0.04
811,Eu,63,Ll,5.177,0.252,0.024
801,Eu,63,La2,5.816,0.67,0.04
810,Eu,63,Ln,5.817,0.089,0.007
800,Eu,63,La1,5.846,6,0.3
805,Eu,63,Lb4,6.438,0.075,0.011
802,Eu,63,Lb1,6.457,3.7,0.3
804,Eu,63,Lb3,6.571,0.125,0.019
806,Eu,63,Lb6,6.617,0.058,0.003
803,Eu,63,Lb2,6.844,1.27,0.08
807,Eu,63,Lg1,7.484,0.62,0.05
808,Eu,63,Lg2,7.768,0.023,0.004
809,Eu,63,Lg3,7.795,0.033,0.005
793,Eu,63,Ka3,40.467,0.00727,0.00022
792,Eu,63,Ka2,40.902,26.6,0.6
791,Eu,63,Ka1,41.542,47.6,1
796,Eu,63,Kb3,46.905,4.76,0.1
794,Eu,63,Kb1,47.038,9.21,0.19
798,Eu,63,Kb5,47.373,0.141,0.006
795,Eu,63,Kb2,48.249,3.05,0.06
797,Eu,63,Kb4,48.386,0.036,0.018
799,Eu,63,KO,48.497,0.42,0.04
834,Gd,64,Ll,5.362,0.266,0.025
822,Gd,64,La2,6.026,0.7,0.04
833,Gd,64,Ln,6.049,0.092,0.007
821,Gd,64,La1,6.058,6.3,0.4
826,Gd,64,Lb4,6.687,0.077,0.012
823,Gd,64,Lb1,6.713,3.9,0.3
825,Gd,64,Lb3,6.832,0.126,0.019
828,Gd,64,Lb6,6.867,0.063,0.004
824,Gd,64,Lb2,7.102,1.32,0.08
827,Gd,64,Lb5,7.243,0.0108,0.0006
829,Gd,64,Lg1,7.79,0.67,0.05
832,Gd,64,Lg6,7.93,0.0055,0.0006
830,Gd,64,Lg2,8.087,0.024,0.004
831,Gd,64,Lg3,8.105,0.034,0.006
814,Gd,64,Ka3,41.864,0.00824,0.00025
813,Gd,64,Ka2,42.309,26.6,0.6
812,Gd,64,Ka1,42.996,47.5,1
817,Gd,64,Kb3,48.551,4.81,0.1
815,Gd,64,Kb1,48.695,9.3,0.19
819,Gd,64,Kb5,49.038,0.146,0.006
816,Gd,64,Kb2,49.959,3.11,0.06
818,Gd,64,Kb4,50.099,0.038,0.019
820,Gd,64,KO,50.219,0.45,0.05
855,Tb,65,Ll,5.546,0.28,0.03
845,Tb,65,La2,6.239,0.74,0.04
844,Tb,65,La1,6.273,6.7,0.4
854,Tb,65,Ln,6.284,0.095,0.007
849,Tb,65,Lb4,6.94,0.078,0.012
846,Tb,65,Lb1,6.977,4.1,0.3
848,Tb,65,Lb3,7.097,0.127,0.019
850,Tb,65,Lb6,7.116,0.068,0.004
847,Tb,65,Lb2,7.367,1.38,0.08
851,Tb,65,Lg1,8.105,0.71,0.05
852,Tb,65,Lg2,8.398,0.025,0.004
853,Tb,65,Lg3,8.423,0.035,0.006
837,Tb,65,Ka3,43.288,0.0092,0.0003
836,Tb,65,Ka2,43.744,26.7,0.6
835,Tb,65,Ka1,44.482,47.5,1
840,Tb,65,Kb3,50.228,4.88,0.1
838,Tb,65,Kb1,50.384,9.44,0.19
842,Tb,65,Kb5,50.738,0.156,0.006
839,Tb,65,Kb2,51.698,3.15,0.07
841,Tb,65,Kb4,51.849,0.04,0.02
843,Tb,65,KO,51.97,0.42,0.04
876,Dy,66,Ll,5.743,0.3,0.03
866,Dy,66,La2,6.458,0.78,0.04
865,Dy,66,La1,6.495,7.1,0.4
875,Dy,66,Ln,6.534,0.099,0.007
870,Dy,66,Lb4,7.204,0.081,0.012
867,Dy,66,Lb1,7.248,4.4,0.3
869,Dy,66,Lb3,7.37,0.131,0.02
871,Dy,66,Lb6,7.374,0.074,0.004
868,Dy,66,Lb2,7.636,1.45,0.09
872,Dy,66,Lg1,8.426,0.76,0.06
873,Dy,66,Lg2,8.714,0.025,0.004
874,Dy,66,Lg3,8.753,0.037,0.006
858,Dy,66,Ka3,44.743,0.0102,0.0003
857,Dy,66,Ka2,45.208,26.8,0.6
856,Dy,66,Ka1,45.998,47.5,1
861,Dy,66,Kb3,51.947,4.95,0.1
859,Dy,66,Kb1,52.113,9.58,0.2
863,Dy,66,Kb5,52.475,0.166,0.007
860,Dy,66,Kb2,53.476,3.2,0.07
862,Dy,66,Kb4,53.634,0.042,0.021
864,Dy,66,KO,53.762,0.42,0.04
897,Ho,67,Ll,5.943,0.32,0.03
887,Ho,67,La2,6.68,0.82,0.05
886,Ho,67,La1,6.72,7.4,0.4
896,Ho,67,Ln,6.789,0.103,0.008
891,Ho,67,Lb4,7.471,0.083,0.012
888,Ho,67,Lb1,7.526,4.7,0.3
892,Ho,67,Lb6,7.635,0.079,0.004
890,Ho,67,Lb3,7.653,0.132,0.02
889,Ho,67,Lb2,7.91,1.49,0.09
893,Ho,67,Lg1,8.757,0.82,0.06
894,Ho,67,Lg2,9.051,0.026,0.004
895,Ho,67,Lg3,9.088,0.038,0.006
879,Ho,67,Ka3,46.224,0.0111,0.0003
878,Ho,67,Ka2,46.7,26.9,0.6
877,Ho,67,Ka1,47.547,47.5,1
882,Ho,67,Kb3,53.695,5,0.1
880,Ho,67,Kb1,53.877,9.68,0.2
884,Ho,67,Kb5,54.246,0.176,0.007
881,Ho,67,Kb2,55.293,3.24,0.07
883,Ho,67,Kb4,55.457,0.045,0.022
885,Ho,67,KO,55.597,0.42,0.04
918,Er,68,Ll,6.151,0.34,0.03
908,Er,68,La2,6.905,0.86,0.05
907,Er,68,La1,6.949,7.7,0.4
917,Er,68,Ln,7.058,0.106,0.008
912,Er,68,Lb4,7.746,0.085,0.013
909,Er,68,Lb1,7.811,4.9,0.4
913,Er,68,Lb6,7.909,0.087,0.005
911,Er,68,Lb3,7.94,0.133,0.02
910,Er,68,Lb2,8.186,1.55,0.09
914,Er,68,Lg1,9.088,0.88,0.07
915,Er,68,Lg2,9.385,0.026,0.004
916,Er,68,Lg3,9.431,0.039,0.006
900,Er,68,Ka3,47.734,0.0126,0.0004
899,Er,68,Ka2,48.221,27,0.6
898,Er,68,Ka1,49.128,47.5,1
903,Er,68,Kb3,55.48,5.06,0.1
901,Er,68,Kb1,55.674,9.77,0.2
905,Er,68,Kb5,56.054,0.186,0.008
902,Er,68,Kb2,57.142,3.28,0.07
904,Er,68,Kb4,57.313,0.047,0.023
906,Er,68,KO,57.456,0.42,0.04
939,Tm,69,Ll,6.341,0.36,0.03
929,Tm,69,La2,7.133,0.9,0.05
928,Tm,69,La1,7.18,8.1,0.5
938,Tm,69,Ln,7.31,0.11,0.009
933,Tm,69,Lb4,8.026,0.088,0.013
930,Tm,69,Lb1,8.102,5.2,0.4
934,Tm,69,Lb6,8.176,0.092,0.005
932,Tm,69,Lb3,8.231,0.137,0.021
931,Tm,69,Lb2,8.468,1.59,0.1
935,Tm,69,Lg1,9.437,0.93,0.07
936,Tm,69,Lg2,9.73,0.028,0.005
937,Tm,69,Lg3,9.779,0.04,0.007
921,Tm,69,Ka3,49.274,0.0135,0.0004
920,Tm,69,Ka2,49.773,27.2,0.6
919,Tm,69,Ka1,50.742,47.4,1
924,Tm,69,Kb3,57.3,5.11,0.1
922,Tm,69,Kb1,57.505,9.86,0.2
926,Tm,69,Kb5,57.898,0.195,0.008
923,Tm,69,Kb2,59.028,3.32,0.07
925,Tm,69,Kb4,59.21,0.049,0.024
927,Tm,69,KO,59.357,0.42,0.04
960,Yb,70,Ll,6.545,0.37,0.03
950,Yb,70,La2,7.367,0.93,0.04
949,Yb,70,La1,7.416,8.3,0.4
959,Yb,70,Ln,7.58,0.114,0.006
954,Yb,70,Lb4,8.313,0.091,0.014
951,Yb,70,Lb1,8.402,5.4,0.3
955,Yb,70,Lb6,8.456,0.098,0.005
953,Yb,70,Lb3,8.537,0.139,0.021
952,Yb,70,Lb2,8.752,1.62,0.08
956,Yb,70,Lg1,9.78,0.99,0.06
957,Yb,70,Lg2,10.09,0.029,0.005
958,Yb,70,Lg3,10.143,0.041,0.007
942,Yb,70,Ka3,50.846,0.0145,0.0004
941,Yb,70,Ka2,51.354,27.2,0.6
940,Yb,70,Ka1,52.389,47.4,1
945,Yb,70,Kb3,59.159,5.18,0.1
943,Yb,70,Kb1,59.383,9.99,0.2
947,Yb,70,Kb5,59.78,0.204,0.008
944,Yb,70,Kb2,60.962,3.38,0.07
946,Yb,70,Kb4,61.141,0.051,0.025
948,Yb,70,KO,61.309,0.41,0.04
983,Lu,71,Ll,6.753,0.39,0.04
971,Lu,71,La2,7.605,0.97,0.05
970,Lu,71,La1,7.656,8.6,0.4
982,Lu,71,Ln,7.857,0.119,0.006
975,Lu,71,Lb4,8.607,0.096,0.015
972,Lu,71,Lb1,8.709,5.7,0.3
977,Lu,71,Lb6,8.738,0.103,0.005
974,Lu,71,Lb3,8.847,0.144,0.022
973,Lu,71,Lb2,9.044,1.75,0.09
976,Lu,71,Lb5,9.24,0.0103,0.0005
978,Lu,71,Lg1,10.144,1.04,0.06
981,Lu,71,Lg6,10.344,0.0063,0.0006
979,Lu,71,Lg2,10.46,0.03,0.005
980,Lu,71,Lg3,10.511,0.044,0.007
963,Lu,71,Ka3,52.443,0.0159,0.0005
962,Lu,71,Ka2,52.965,27.3,0.6
961,Lu,71,Ka1,54.07,47.3,1
966,Lu,71,Kb3,61.05,5.21,0.1
964,Lu,71,Kb1,61.29,10.1,0.2
968,Lu,71,Kb5,61.7,0.213,0.009
965,Lu,71,Kb2,62.929,3.42,0.07
967,Lu,71,Kb4,63.114,0.05,0.03
969,Lu,71,KO,63.286,0.44,0.05
1006,Hf,72,Ll,6.96,0.41,0.04
994,Hf,72,La2,7.844,1,0.05
993,Hf,72,La1,7.899,8.9,0.4
1005,Hf,72,Ln,8.139,0.124,0.007
998,Hf,72,Lb4,8.905,0.1,0.015
1000,Hf,72,Lb6,9.023,0.108,0.005
995,Hf,72,Lb1,9.023,6,0.3
997,Hf,72,Lb3,9.163,0.147,0.022
996,Hf,72,Lb2,9.342,1.9,0.1
999,Hf,72,Lb5,9.554,0.0268,0.0012
1001,Hf,72,Lg1,10.516,1.1,0.06
1004,Hf,72,Lg6,10.733,0.0167,0.0016
1002,Hf,72,Lg2,10.834,0.031,0.005
1003,Hf,72,Lg3,10.89,0.045,0.007
986,Hf,72,Ka3,54.08,0.0173,0.0005
985,Hf,72,Ka2,54.611,27.3,0.6
984,Hf,72,Ka1,55.79,47.1,1
989,Hf,72,Kb3,62.985,5.28,0.011
987,Hf,72,Kb1,63.243,10.2,0.21
991,Hf,72,Kb5,63.662,0.222,0.009
988,Hf,72,Kb2,64.942,3.48,0.07
990,Hf,72,Kb4,65.132,0.06,0.03
992,Hf,72,KO,65.316,0.46,0.05
1029,Ta,73,Ll,7.173,0.43,0.04
1017,Ta,73,La2,8.088,1.04,0.05
1016,Ta,73,La1,8.146,9.3,0.4
1028,Ta,73,Ln,8.428,0.13,0.007
1021,Ta,73,Lb4,9.213,0.104,0.016
1023,Ta,73,Lb6,9.316,0.114,0.005
1018,Ta,73,Lb1,9.343,6.2,0.3
1020,Ta,73,Lb3,9.488,0.151,0.023
1019,Ta,73,Lb2,9.646,2.05,0.1
1022,Ta,73,Lb5,9.875,0.0372,0.0017
1024,Ta,73,Lg1,10.895,1.16,0.07
1027,Ta,73,Lg6,11.13,0.03,0.003
1025,Ta,73,Lg2,11.217,0.033,0.005
1026,Ta,73,Lg3,11.277,0.047,0.008
1009,Ta,73,Ka3,55.735,0.0192,0.0006
1008,Ta,73,Ka2,56.28,27.3,0.6
1007,Ta,73,Ka1,57.535,47.2,1
1012,Ta,73,Kb3,64.948,5.32,0.11
1010,Ta,73,Kb1,65.222,10.3,0.21
1014,Ta,73,Kb5,65.652,0.232,0.009
1011,Ta,73,Kb2,66.982,3.53,0.07
1013,Ta,73,Kb4,67.181,0.06,0.03
1015,Ta,73,KO,67.376,0.49,0.05
1052,W,74,Ll,7.387,0.46,0.04
1040,W,74,La2,8.335,1.08,0.05
1039,W,74,La1,8.398,9.7,0.4
1051,W,74,Ln,8.724,0.136,0.007
1044,W,74,Lb4,9.525,0.112,0.017
1046,W,74,Lb6,9.612,0.121,0.006
1041,W,74,Lb1,9.672,6.5,0.4
1043,W,74,Lb3,9.819,0.159,0.024
1042,W,74,Lb2,9.955,2.19,0.11
1045,W,74,Lb5,10.201,0.0483,0.0022
1047,W,74,Lg1,11.285,1.22,0.07
1050,W,74,Lg6,11.538,0.047,0.004
1048,W,74,Lg2,11.608,0.035,0.006
1049,W,74,Lg3,11.675,0.05,0.008
1032,W,74,Ka3,57.425,0.0206,0.0006
1031,W,74,Ka2,57.981,27.4,0.6
1030,W,74,Ka1,59.318,47,1
1035,W,74,Kb3,66.95,5.35,0.11
1033,W,74,Kb1,67.244,10.3,0.21
1037,W,74,Kb5,67.685,0.241,0.01
1034,W,74,Kb2,69.067,3.58,0.07
1036,W,74,Kb4,69.273,0.06,0.03
1038,W,74,KO,69.484,0.51,0.05
1075,Re,75,Ll,7.604,0.49,0.04
1063,Re,75,La2,8.586,1.13,0.05
1062,Re,75,La1,8.652,10.1,0.5
1074,Re,75,Ln,9.027,0.142,0.008
1067,Re,75,Lb4,9.845,0.109,0.016
1069,Re,75,Lb6,9.91,0.132,0.006
1064,Re,75,Lb1,10.01,6.7,0.4
1066,Re,75,Lb3,10.159,0.152,0.023
1065,Re,75,Lb2,10.268,2.31,0.12
1068,Re,75,Lb5,10.532,0.091,0.004
1070,Re,75,Lg1,11.685,1.29,0.08
1073,Re,75,Lg6,11.955,0.081,0.008
1071,Re,75,Lg2,12.009,0.034,0.006
1072,Re,75,Lg3,12.082,0.049,0.008
1055,Re,75,Ka3,59.15,0.0224,0.0007
1054,Re,75,Ka2,59.718,27.4,0.6
1053,Re,75,Ka1,61.141,46.9,1
1058,Re,75,Kb3,68.995,5.42,0.11
1056,Re,75,Kb1,69.309,10.4,0.21
1060,Re,75,Kb5,69.76,0.25,0.01
1057,Re,75,Kb2,71.195,3.63,0.07
1059,Re,75,Kb4,71.409,0.07,0.03
1061,Re,75,KO,71.636,0.54,0.06
1098,Os,76,Ll,7.822,0.52,0.05
1086,Os,76,La2,8.84,1.17,0.05
1085,Os,76,La1,8.911,10.4,0.5
1097,Os,76,Ln,9.337,0.148,0.008
1090,Os,76,Lb4,10.176,0.096,0.015
1092,Os,76,Lb6,10.217,0.143,0.007
1087,Os,76,Lb1,10.354,7,0.4
1089,Os,76,Lb3,10.511,0.131,0.02
1088,Os,76,Lb2,10.59,2.44,0.13
1091,Os,76,Lb5,10.871,0.138,0.006
1093,Os,76,Lg1,12.096,1.35,0.08
1096,Os,76,Lg6,12.385,0.112,0.011
1094,Os,76,Lg2,12.421,0.03,0.005
1095,Os,76,Lg3,12.5,0.043,0.007
1078,Os,76,Ka3,60.903,0.0242,0.0007
1077,Os,76,Ka2,61.486,27.4,0.6
1076,Os,76,Ka1,63,46.7,1
1081,Os,76,Kb3,71.079,5.48,0.11
1079,Os,76,Kb1,71.414,10.6,0.21
1083,Os,76,Kb5,71.875,0.259,0.01
1080,Os,76,Kb2,73.363,3.71,0.08
1082,Os,76,Kb4,73.59,0.07,0.03
1084,Os,76,KO,73.819,0.56,0.06
1121,Ir,77,Ll,8.042,0.55,0.05
1109,Ir,77,La2,9.099,1.22,0.06
1108,Ir,77,La1,9.175,10.9,0.5
1120,Ir,77,Ln,9.65,0.155,0.008
1113,Ir,77,Lb4,10.51,0.088,0.013
1115,Ir,77,Lb6,10.525,0.152,0.007
1110,Ir,77,Lb1,10.708,7.2,0.4
1112,Ir,77,Lb3,10.868,0.118,0.018
1111,Ir,77,Lb2,10.912,2.57,0.013
1114,Ir,77,Lb5,11.211,0.179,0.008
1116,Ir,77,Lg1,12.513,1.41,0.08
1119,Ir,77,Lg6,12.82,0.145,0.014
1117,Ir,77,Lg2,12.841,0.028,0.005
1118,Ir,77,Lg3,12.924,0.039,0.006
1101,Ir,77,Ka3,62.693,0.0261,0.0008
1100,Ir,77,Ka2,63.287,27.4,0.6
1099,Ir,77,Ka1,64.896,46.7,1
1104,Ir,77,Kb3,73.202,5.52,0.11
1102,Ir,77,Kb1,73.56,10.6,0.22
1106,Ir,77,Kb5,74.033,0.268,0.011
1103,Ir,77,Kb2,75.575,3.75,0.08
1105,Ir,77,Kb4,75.808,0.07,0.03
1107,Ir,77,KO,76.054,0.57,0.06
1144,Pt,78,Ll,8.266,0.58,0.05
1132,Pt,78,La2,9.362,1.26,0.06
1131,Pt,78,La1,9.443,11.2,0.5
1143,Pt,78,Ln,9.975,0.163,0.009
1138,Pt,78,Lb6,10.84,0.16,0.007
1136,Pt,78,Lb4,10.854,0.083,0.013
1133,Pt,78,Lb1,11.071,7.5,0.4
1135,Pt,78,Lb3,11.235,0.109,0.016
1134,Pt,78,Lb2,11.242,2.69,0.14
1137,Pt,78,Lb5,11.562,0.222,0.01
1139,Pt,78,Lg1,12.942,1.47,0.09
1142,Pt,78,Lg6,13.27,0.18,0.017
1140,Pt,78,Lg2,13.273,0.027,0.004
1141,Pt,78,Lg3,13.361,0.037,0.006
1124,Pt,78,Ka3,64.514,0.0298,0.0009
1123,Pt,78,Ka2,65.122,27.4,0.6
1122,Pt,78,Ka1,66.831,46.5,1
1127,Pt,78,Kb3,75.368,5.56,0.11
1125,Pt,78,Kb1,75.749,10.7,0.22
1129,Pt,78,Kb5,76.233,0.276,0.011
1126,Pt,78,Kb2,77.831,3.81,0.08
1128,Pt,78,Kb4,78.073,0.08,0.04
1130,Pt,78,KO,78.337,0.6,0.06
1167,Au,79,Ll,8.494,0.61,0.06
1155,Au,79,La2,9.628,1.3,0.06
1154,Au,79,La1,9.713,11.6,0.5
1166,Au,79,Ln,10.309,0.172,0.009
1161,Au,79,Lb6,11.16,0.17,0.008
1159,Au,79,Lb4,11.205,0.078,0.012
1156,Au,79,Lb1,11.443,7.8,0.4
1157,Au,79,Lb2,11.576,2.82,0.14
1158,Au,79,Lb3,11.61,0.099,0.015
1160,Au,79,Lb5,11.916,0.268,0.012
1162,Au,79,Lg1,13.382,1.56,0.09
1163,Au,79,Lg2,13.709,0.025,0.004
1165,Au,79,Lg6,13.731,0.209,0.02
1164,Au,79,Lg3,13.807,0.034,0.006
1147,Au,79,Ka3,66.372,0.0326,0.001
1146,Au,79,Ka2,66.991,27.5,0.6
1145,Au,79,Ka1,68.806,46.4,1
1150,Au,79,Kb3,77.577,5.57,0.11
1148,Au,79,Kb1,77.982,10.7,0.22
1152,Au,79,Kb5,78.476,0.285,0.011
1149,Au,79,Kb2,80.13,3.84,0.08
1151,Au,79,Kb4,80.382,0.08,0.04
1153,Au,79,KO,80.66,0.62,0.06
1190,Hg,80,Ll,8.722,0.65,0.06
1178,Hg,80,La2,9.899,1.35,0.05
1177,Hg,80,La1,9.989,12,0.5
1189,Hg,80,Ln,10.647,0.18,0.01
1184,Hg,80,Lb6,11.481,0.18,0.007
1182,Hg,80,Lb4,11.561,0.077,0.012
1179,Hg,80,Lb1,11.824,8,0.4
1180,Hg,80,Lb2,11.915,2.94,0.13
1181,Hg,80,Lb3,11.992,0.097,0.015
1183,Hg,80,Lb5,12.275,0.315,0.012
1185,Hg,80,Lg1,13.83,1.63,0.1
1186,Hg,80,Lg2,14.158,0.025,0.004
1188,Hg,80,Lg6,14.199,0.248,0.023
1187,Hg,80,Lg3,14.262,0.034,0.006
1170,Hg,80,Ka3,68.263,0.0358,0.0011
1169,Hg,80,Ka2,68.894,27.5,0.6
1168,Hg,80,Ka1,70.818,46.3,0.9
1173,Hg,80,Kb3,79.824,5.59,0.11
1171,Hg,80,Kb1,80.255,10.7,0.22
